Block	File	DIT	NDIT	Tech	CATG	TYPE	INS.MODE	TPL.NAME	TPL.START	TPL.EXPNO	DRS.SLIT	DRS.FILTER	DRS.IFU	DRS.MASK.
Users	karr	2.0	1	IMAGE,LM	CALIB	DETLIN	IMG_LM	METIS_img_lm_cal_DetLin	2027-01-26 00:11:49	0	open			
Users	karr	3.0	1	IMAGE,LM	CALIB	DETLIN	IMG_LM	METIS_img_lm_cal_DetLin	2027-01-26 00:11:49	0	open			
Users	karr	4.0	1	IMAGE,LM	CALIB	DETLIN	IMG_LM	METIS_img_lm_cal_DetLin	2027-01-26 00:11:49	0	open			
Users	karr	10.0	20	IMAGE,LM	CALIB	DISTORTION	IMG_LM	METIS_img_lm_cal_distortion	2027-01-25 00:02:38	0	open			
Users	karr	10.0	20	IMAGE,LM	CALIB	DISTORTION	IMG_LM	METIS_img_lm_cal_distortion	2027-01-26 00:02:38	0	open			
Users	karr	1.0	1	IMAGE,LM	CALIB	FLAT,LAMP	IMG_LM	METIS_img_lm_det_flat	2027-01-25 00:00:00	4	Lp			
Users	karr	1.0	1	IMAGE,LM	CALIB	FLAT,LAMP	IMG_LM	METIS_img_lm_det_flat	2027-01-25 00:00:00	4	Lp			
Users	karr	1.0	1	IMAGE,LM	CALIB	FLAT,LAMP	IMG_LM	METIS_img_lm_det_flat	2027-01-25 00:00:00	4	Lp			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,LAMP	IMG_LM	METIS_img_lm_det_flat	2027-01-25T00:02:44.684000	9	Lp			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,LAMP	IMG_LM	METIS_img_lm_det_flat	2027-01-25T00:02:44.684000	10	Lp			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,LAMP	IMG_LM	METIS_img_lm_det_flat	2027-01-25T00:02:44.684000	11	Lp			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,LAMP	IMG_LM	METIS_img_lm_det_flat	2027-01-25T00:13:57.484000	14	open			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,LAMP	IMG_LM	METIS_img_lm_det_flat	2027-01-25T00:13:57.484000	15	open			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,LAMP	IMG_LM	METIS_img_lm_det_flat	2027-01-25T00:13:57.484000	16	open			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,LAMP	IMG_LM	METIS_img_lm_det_flat	2027-01-25T00:14:04.084000	17	Lp			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,LAMP	IMG_LM	METIS_img_lm_det_flat	2027-01-25T00:14:04.084000	18	Lp			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,LAMP	IMG_LM	METIS_img_lm_det_flat	2027-01-25T00:14:04.084000	19	Lp			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,LAMP	IMG_LM	METIS_img_lm_det_flat	2027-01-26T00:13:57.484000	14	Lp			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,LAMP	IMG_LM	METIS_img_lm_det_flat	2027-01-26T00:13:57.484000	15	Lp			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,LAMP	IMG_LM	METIS_img_lm_det_flat	2027-01-26T00:13:57.484000	16	Lp			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,LAMP	IMG_LM	METIS_img_lm_det_flat	2027-01-26T00:14:04.084000	17	open			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,LAMP	IMG_LM	METIS_img_lm_det_flat	2027-01-26T00:14:04.084000	18	open			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,LAMP	IMG_LM	METIS_img_lm_det_flat	2027-01-26T00:14:04.084000	19	open			
Users	karr	0.25	1	IMAGE,LM	CALIB	FLAT,TWILIGHT	IMG_LM	METIS_img_lm_det_flat	2027-01-25 00:01:22	2	Lp			
Users	karr	0.25	1	IMAGE,LM	CALIB	FLAT,TWILIGHT	IMG_LM	METIS_img_lm_det_flat	2027-01-25 00:01:22	2	Lp			
Users	karr	0.25	1	IMAGE,LM	CALIB	FLAT,TWILIGHT	IMG_LM	METIS_img_lm_det_flat	2027-01-25 00:01:22	2	Lp			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,TWILIGHT	IMG_LM	METIS_img_lm_det_flat	2027-01-25T00:02:38.984000	6	Lp			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,TWILIGHT	IMG_LM	METIS_img_lm_det_flat	2027-01-25T00:02:38.984000	7	Lp			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,TWILIGHT	IMG_LM	METIS_img_lm_det_flat	2027-01-25T00:02:38.984000	8	Lp			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,TWILIGHT	IMG_LM	METIS_img_lm_det_flat	2027-01-25T00:13:44.284000	8	open			
Users	karr	1	1	IMAGE,LM	CALIB	FLAT,TWILIGHT	IMG_LM	METIS_img_lm_det_flat	2027-01-25T00:13:44.284000	9	open			
